Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Phases,Funded Bys,Study Type,Results First Posted,URL
717,Study of Intravitreal Aflibercept Injection (IAI; EYLEA®; BAY86-5321) in Patients With Diabetic Macular Edema,Completed,Has Results,Diabetic Macular Edema,Drug: Intravitreal Aflibercept Injection (IAI; EYLEA®; BAY86-5321)|Procedure: Macular Laser Photocoagulation,Regeneron Pharmaceuticals|Bayer,Phase 3,Industry,Interventional,20-Apr-15,https://ClinicalTrials.gov/show/NCT01363440
718,Sativex® for Relieving Persistent Pain in Patients With Advanced Cancer,Completed,Has Results,Pain|Advanced Cancer,Drug: Nabiximols|Drug: Placebo (GA-0034),"GW Pharmaceuticals Ltd.|Otsuka Pharmaceutical Development & Commercialization, Inc.",Phase 3,Industry,Interventional,23-Apr-18,https://ClinicalTrials.gov/show/NCT01361607
719,An Efficacy and Safety Study of Oral and Intravenous Palonosetron for the Prevention of Nausea and Vomiting,Completed,Has Results,Chemotherapy-Induced Nausea and Vomiting,Drug: Oral palonosetron|Drug: I.V. palonosetron|Drug: Dexamethasone,Helsinn Healthcare SA|Parexel,Phase 3,Industry,Interventional,17-Nov-14,https://ClinicalTrials.gov/show/NCT01363479
720,Denosumab Compared to Zoledronic Acid in the Treatment of Bone Disease in Patients With Multiple Myeloma,Completed,Has Results,Cancer|Hematologic Malignancies|Multiple Myeloma|Oncology|Bone Metastases|Multiple Myeloma Bone Lesions,Drug: Denosumab|Drug: Zoledronic acid|Drug: Placebo to Denosumab|Drug: Placebo to zoledronic acid,"Amgen|Daiichi Sankyo, Inc.",Phase 3,Industry,Interventional,7-Mar-18,https://ClinicalTrials.gov/show/NCT01345019
721,A Study of Trabectedin or Dacarbazine for the Treatment of Patients With Advanced Liposarcoma or Leiomyosarcoma,Completed,Has Results,Advanced Liposarcoma or Leiomyosarcoma,Drug: Trabectedin|Drug: Dacarbazine,"Janssen Research & Development, LLC|PharmaMar",Phase 3,Industry,Interventional,28-Jan-16,https://ClinicalTrials.gov/show/NCT01343277
722,Efficacy and Safety of 2 Doses of Tiotropium Respimat® Compared to Placebo in Children With Moderate Persistent Asthma,Completed,Has Results,Asthma,Drug: Tiotropium low dose QD|Drug: Tiotropium high dose QD|Drug: Placebo,Boehringer Ingelheim|Pfizer,Phase 3,Industry,Interventional,12-Jul-16,https://ClinicalTrials.gov/show/NCT01634139
723,An Efficacy and Safety Study of Oral Netupitant and Palonosetron for the Prevention of Nausea and Vomiting,Completed,Has Results,Chemotherapy-Induced Nausea and Vomiting,Drug: Netupitant and Palonosetron|Drug: Palonosetron|Drug: Dexamethasone,Helsinn Healthcare SA|Parexel,Phase 3,Industry,Interventional,26-Nov-14,https://ClinicalTrials.gov/show/NCT01339260
724,Long Term Safety of Sativex Oromucosal Spray (Sativex®; Nabiximols) as Adjunctive Therapy in Patients With Uncontrolled Persistent Chronic Cancer Related Pain,Completed,Has Results,Pain|Advanced Cancer,Drug: Nabiximols,"GW Pharmaceuticals Ltd.|Otsuka Pharmaceutical Development & Commercialization, Inc.",Phase 3,Industry,Interventional,23-Apr-18,https://ClinicalTrials.gov/show/NCT01337089
725,"Study of Recombinant Coagulation Factor IX Fc Fusion Protein, BIIB029, in Previously Treated Pediatric Participants With Hemophilia B",Completed,Has Results,Hemophilia B,Drug: rFIXFc|Drug: FIX,Bioverativ Therapeutics Inc.|Swedish Orphan Biovitrum,Phase 3,Industry,Interventional,18-Jun-15,https://ClinicalTrials.gov/show/NCT01440946
726,"A Multicenter, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of Saxagliptin (BMS-477118) in Combination With Metformin IR or Metformin XR in Pediatric Patients With Type 2 Diabetes Who Have Inadequate Glycemic Control on Metformin Alone",Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: Placebo matching with Saxagliptin|Drug: Metformin IR|Drug: Metformin XR|Drug: Saxagliptin,AstraZeneca|Bristol-Myers Squibb,Phase 3,Industry,Interventional,18-Apr-17,https://ClinicalTrials.gov/show/NCT01434186
727,Safety and Efficacy of BI 10773 as add-on to Insulin Regimen in Patients With Type 2 Diabetes Mellitus,Completed,Has Results,"Diabetes Mellitus, Type 2|Obesity",Drug: Placebo|Drug: BI 10773,Boehringer Ingelheim|Eli Lilly and Company,Phase 3,Industry,Interventional,17-Jun-14,https://ClinicalTrials.gov/show/NCT01306214
728,Safety and Efficacy of Empagliflozin (BI 10773) and Sitagliptin Versus Placebo Over 76 Weeks in Patients With Type 2 Diabetes,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: BI 10773|Drug: Placebo|Drug: Sitagliptin 100mg,Boehringer Ingelheim|Eli Lilly and Company,Phase 3,Industry,Interventional,15-Jul-14,https://ClinicalTrials.gov/show/NCT01289990
729,Efficacy and Safety of Intravenous to Oral 6-Day Tedizolid Phosphate vs. Intravenous to Oral 10-Day Linezolid in Patients With Acute Bacterial Skin and Skin Structure Infection (ABSSSI),Completed,Has Results,Bacterial Infections,Drug: Tedizolid (BAY119-2631)|Drug: Placebo Tedizolid (BAY119-2631)|Drug: Linezolid|Drug: Placebo Linezolid,Bayer|Merck Sharp & Dohme Corp.,Phase 3,Industry,Interventional,7-Jun-17,https://ClinicalTrials.gov/show/NCT02066402
730,A Study of Tranexamic Acid (XP12B) in Women With Heavy Menstrual Bleeding,Completed,Has Results,Menorrhagia,Drug: Tranexamic acid,Ferring Pharmaceuticals|Xanodyne Pharmaceuticals,Phase 3,Industry,Interventional,26-Jul-11,https://ClinicalTrials.gov/show/NCT01280981
731,Sativex® for Relieving Persistent Pain in Participants With Advanced Cancer,Completed,Has Results,Pain|Advanced Cancer,Drug: Nabiximols|Drug: Placebo (GA-0034),"GW Pharmaceuticals Ltd.|Otsuka Pharmaceutical Development & Commercialization, Inc.",Phase 3,Industry,Interventional,23-Apr-18,https://ClinicalTrials.gov/show/NCT01262651
732,Phase III Study of Coagulation FVIIa (Recombinant) in Congenital Hemophilia A or B Patients With Inhibitors,Completed,Has Results,Hemophilia A With Inhibitors|Hemophilia B With Inhibitors,Biological: Coagulation Factor VIIa (Recombinant),rEVO Biologics|Laboratoire français de Fractionnement et de Biotechnologies,Phase 3,Industry,Interventional,14-Jun-17,https://ClinicalTrials.gov/show/NCT02020369
733,Safety and Efficacy of Econazole Nitrate Foam 1% in Subjects With Tinea Pedis,Completed,Has Results,Tinea Pedis|Athlete's Foot,Drug: Econazole Nitrate Foam 1%|Other: Vehicle Foam,"AmDerma|AmDerma Pharmaceuticals, LLC",Phase 3,Industry,Interventional,9-Jan-13,https://ClinicalTrials.gov/show/NCT01353976
734,Efficacy of Albuterol SPIROMAX® in Adult and Adolescent Patients With Exercise-Induced Bronchoconstriction (EIB),Completed,Has Results,Exercise-Induced Bronchoconstriction (EIB),Drug: Albuterol Spiromax|Drug: Placebo Spiromax,Teva Pharmaceutical Industries,Phase 3,Industry,Interventional,19-May-15,https://ClinicalTrials.gov/show/NCT01791972
735,Study of Efficacy and Safety in Polycythemia Vera Subjects Who Are Resistant to or Intolerant of Hydroxyurea: JAK Inhibitor INC424 (INCB018424) Tablets Versus Best Available Care: (The RESPONSE Trial),Completed,Has Results,Polycythemia Vera,Drug: ruxolitinib tablets|Other: Best Available Therapy (BAT),Incyte Corporation|Novartis Pharmaceuticals,Phase 3,Industry,Interventional,6-Mar-15,https://ClinicalTrials.gov/show/NCT01243944
736,Trial Comparing the Efficacy and Safety of Lacosamide (LCM) to Carbamazepine Controlled-Release (CBZ-CR); Initial Monotherapy in Epilepsy; Subjects Aged 16 and Older,Completed,Has Results,Epilepsy|Monotherapy,Drug: Lacosamide|Drug: Carbamazepine-Controlled Release,UCB BIOSCIENCES GmbH|Eden Sarl|UCB Pharma,Phase 3,Industry,Interventional,23-Feb-16,https://ClinicalTrials.gov/show/NCT01243177
737,Safety and Tolerability Study of GlaxoSmithKline (GSK)1557484A Vaccine in Adults at Occupational Risk for Influenza A (H5N1) Exposure,Completed,Has Results,Influenza,"Biological: Influenza A (H5N1) Virus Monovalent Vaccine, Adjuvanted (A/Indonesia)",GlaxoSmithKline,Phase 3,Industry,Interventional,7-Apr-15,https://ClinicalTrials.gov/show/NCT01788228
738,VX-950-C211 - A Dosing Regimen Study (Twice Daily Versus Every 8 Hours) of Telaprevir in Treatment-naïve Participants With Genotype 1 Chronic Hepatitis C Virus Infection,Completed,Has Results,Genotype 1 Chronic Hepatitis C|Treatment Naive,Drug: Ribavirin|Drug: Telaprevir|Drug: Pegylated interferon alfa-2a,Janssen Infectious Diseases BVBA|Vertex Pharmaceuticals Incorporated,Phase 3,Industry,Interventional,4-Jun-14,https://ClinicalTrials.gov/show/NCT01241760
739,Efficacy and Safety of 2 Doses of Tiotropium Respimat Compared to Placebo in Adolescents With Severe Persistent Asthma,Completed,Has Results,Asthma,Drug: tiotropium high dose|Drug: placebo|Drug: tiotropium low dose,Boehringer Ingelheim|Pfizer,Phase 3,Industry,Interventional,20-Oct-14,https://ClinicalTrials.gov/show/NCT01277523
740,Phase III Trial Comparing Capecitabine in Combination With Sorafenib or Placebo in the Treatment of Locally Advanced or Metastatic HER2-Negative Breast Cancer,Completed,Has Results,Breast Cancer,"Drug: Sorafenib (Nexavar, BAY43-9006)|Drug: Placebo|Drug: Capecitabine","Bayer|Onyx Therapeutics, Inc.",Phase 3,Industry,Interventional,3-Sep-15,https://ClinicalTrials.gov/show/NCT01234337
741,Clinical Trial in Females for Female Pattern Hair Loss,Completed,Has Results,Androgenetic Alopecia,Drug: 5% Minoxidil Topical Foam|Drug: Vehicle Topical Foam,"Johnson & Johnson Healthcare Products Division of McNEIL-PPC, Inc.|Johnson & Johnson Consumer and Personal Products Worldwide",Phase 3,Industry,Interventional,3-Jun-14,https://ClinicalTrials.gov/show/NCT01226459
742,Efficacy and Safety of 2 Doses of Tiotropium Via Respimat Compared to Placebo in Adolescents With Moderate Persistent Asthma,Completed,Has Results,Asthma,Drug: tiotropium Respimat low dose|Drug: placebo Respimat|Drug: tiotropium Respimat high dose,Boehringer Ingelheim|Pfizer,Phase 3,Industry,Interventional,8-Aug-14,https://ClinicalTrials.gov/show/NCT01257230
743,Efficacy and Safety of Empagliflozin (BI 10773) in Type 2 Diabetes Patients on a Background of Pioglitazone Alone or With Metformin,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: Placebo|Drug: BI 10773,Boehringer Ingelheim|Eli Lilly and Company,Phase 3,Industry,Interventional,17-Jun-14,https://ClinicalTrials.gov/show/NCT01210001
744,A Study of BMS-512148 (Dapagliflozin) in Patients With Type 2 Diabetes With Inadequately Controlled Hypertension on an ACEI or ARB and an Additional Antihypertensive Medication,Completed,Has Results,Type 2 Diabetes,Drug: Dapagliflozin|Drug: Placebo matching Dapagliflozin,AstraZeneca|Bristol-Myers Squibb,Phase 3,Industry,Interventional,23-May-14,https://ClinicalTrials.gov/show/NCT01195662
745,Efficacy and Safety of Linagliptin (BI 1356) in Black/African Americans With Type 2 Diabetes With a MTT Sub-study,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: Linagliptin|Drug: Placebo,Boehringer Ingelheim|Eli Lilly and Company,Phase 3,Industry,Interventional,26-Oct-12,https://ClinicalTrials.gov/show/NCT01194830
746,A Study in Second Line Metastatic Colorectal Cancer,Completed,Has Results,Colorectal Cancer,Biological: Ramucirumab|Biological: Placebo|Drug: Irinotecan|Drug: Folinic Acid|Drug: 5-Fluorouracil,Eli Lilly and Company|ImClone LLC,Phase 3,Industry,Interventional,15-Jul-15,https://ClinicalTrials.gov/show/NCT01183780
747,"30 Week Parallel Group Comparison Study of Linagliptin + Pioglitazone (5+15, 5+30 and 5+45 mg) qd Versus Respective Monotherapies, Followed by a Comparison of 5mg+30mg and 5mg+45mg Versus Respective Monotherapies in Type 2 Diabetes for up to 54 Weeks",Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: Pioglitazone 15 mg|Drug: Pioglitazone 45 mg|Drug: Pioglitazone 30 mg|Drug: Linagliptin 5mg / Pioglitazone 45 mg FDC|Drug: Linagliptin 5mg / Pioglitazone 30 mg FDC|Drug: Linagliptin 5mg|Drug: Linagliptin 5mg / Pioglitazone 15 mg FDC,Boehringer Ingelheim|Eli Lilly and Company,Phase 3,Industry,Interventional,21-Apr-14,https://ClinicalTrials.gov/show/NCT01183013
748,"Study to Evaluate the Safety, Pharmacokinetics and Efficacy of Recombinant Factor VIII Fc Fusion Protein (rFVIIIFc) in Previously Treated Subjects With Severe Hemophilia A",Completed,Has Results,Severe Hemophilia A,Drug: Factor VIII (rFVIIIFc)|Drug: Advate®,Bioverativ Therapeutics Inc.|Swedish Orphan Biovitrum,Phase 3,Industry,Interventional,29-Aug-14,https://ClinicalTrials.gov/show/NCT01181128
749,A Study of First-Line Ambrisentan and Tadalafil Combination Therapy in Subjects With Pulmonary Arterial Hypertension (PAH),Completed,Has Results,"Hypertension, Pulmonary",Drug: ambrisentan|Drug: tadalafil,GlaxoSmithKline|Gilead Sciences,Phase 3,Industry,Interventional,28-Apr-15,https://ClinicalTrials.gov/show/NCT01178073
750,Efficacy and Safety of Empagliflozin (BI 10773) Versus Placebo and Sitagliptin Over 24 Weeks in Patients With Type 2 Diabetes,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: Placebo identical to BI10773 high dose|Drug: BI 10773|Drug: BI 10773 open label|Drug: Placebo identical to BI10773 low dose|Drug: Placebo identical to Sitagliptin 100mg|Drug: BI10773|Drug: Sitagliptin,Boehringer Ingelheim|Eli Lilly and Company,Phase 3,Industry,Interventional,16-Jun-14,https://ClinicalTrials.gov/show/NCT01177813
751,Evaluation of Tiotropium 2.5 and 5 mcg Once Daily Delivered Via the Respimat® Inhaler Compared to Placebo and Salmeterol HydroFluoroAlkane (HFA) Metered Dose Inhaler (MDI) (50 mcg Twice Daily) in Patient With Moderate Persistent Asthma II,Completed,Has Results,Asthma,Drug: placebo|Drug: tiotropium Respimat® low dose|Drug: tiotropium Respimat® high dose|Drug: 50 mcg salmeterol HFA MDI,Boehringer Ingelheim|Pfizer,Phase 3,Industry,Interventional,7-Feb-14,https://ClinicalTrials.gov/show/NCT01172821
752,Evaluation of Tiotropium 2.5 and 5 mcg Once Daily Delivered Via the Respimat® Inhaler Compared to Placebo and Salmeterol HydroFluoroAlkane (HFA) Metered Dose Inhaler (MDI) (50 mcg Twice Daily) in Patient With Moderate Persistent Asthma I,Completed,Has Results,Asthma,Drug: Placebo|Drug: tiotropium Respimat® low dose|Drug: tiotropium Respimat® high dose|Drug: 50 mcg salmeterol HFA MDI,Boehringer Ingelheim|Pfizer,Phase 3,Industry,Interventional,7-Feb-14,https://ClinicalTrials.gov/show/NCT01172808
753,A Study of Chemotherapy and Ramucirumab Versus Chemotherapy Alone in Second Line Non-Small Cell Lung Cancer (NSCLC) Participants Who Received Prior First Line Platinum-based Chemotherapy,Completed,Has Results,Non-Small Cell Lung Cancer,Biological: Ramucirumab|Drug: Placebo (for Ramucirumab)|Drug: Docetaxel,Eli Lilly and Company|ImClone LLC,Phase 3,Industry,Interventional,29-Dec-14,https://ClinicalTrials.gov/show/NCT01168973
754,Efficacy and Safety of Empagliflozin (BI 10773) With Metformin in Patients With Type 2 Diabetes,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: BI 10773|Drug: Glimepiride|Drug: Placebo,Boehringer Ingelheim|Eli Lilly and Company,Phase 3,Industry,Interventional,8-Aug-14,https://ClinicalTrials.gov/show/NCT01167881
755,Efficacy and Safety of Empagliflozin (BI 10773) in Patients With Type 2 Diabetes and Renal Impairment,Completed,Has Results,"Diabetes Mellitus, Type 2|Renal Insufficiency",Drug: BI 10773|Drug: Placebo,Boehringer Ingelheim|Eli Lilly and Company,Phase 3,Industry,Interventional,16-Jun-14,https://ClinicalTrials.gov/show/NCT01164501
756,Hypothalamic-Pituitary-Adrenal (HPA)-Axis Study in Pediatric Subjects With Perennial Allergic Rhinitis (PAR),Completed,Has Results,Allergic Rhinitis,Drug: BDP|Drug: Placebo,Teva Pharmaceutical Industries,Phase 3,Industry,Interventional,8-Oct-15,https://ClinicalTrials.gov/show/NCT01697956
757,Efficacy and Safety Study With Empagliflozin (BI 10773) vs. Placebo as add-on to Metformin or Metformin Plus Sulfonylurea Over 24 Weeks in Patients With Type 2 Diabetes,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: Placebo identical to BI 10773 high dose|Drug: Placebo identical to BI 10773 low dose|Drug: BI 10773,Boehringer Ingelheim|Eli Lilly and Company,Phase 3,Industry,Interventional,17-Jun-14,https://ClinicalTrials.gov/show/NCT01159600
758,A Study to Assess the Efficacy and Safety of TC-5214 as an Adjunct Therapy in Patients With Major Depressive Disorder (MDD),Completed,Has Results,Major Depressive Disorder|Depression,Drug: TC-5214|Drug: Placebo,AstraZeneca|Targacept Inc.,Phase 3,Industry,Interventional,20-Nov-12,https://ClinicalTrials.gov/show/NCT01157078
759,A Study to Assess the Efficacy and Safety of TC-5214 as an Adjunct Therapy in Patients With Major Depressive Disorder,Completed,Has Results,Major Depressive Disorder|Depression,Drug: TC-5214|Drug: Placebo,AstraZeneca|Targacept Inc.,Phase 3,Industry,Interventional,20-Nov-12,https://ClinicalTrials.gov/show/NCT01153347
760,A Study to Assess the Long- Term Safety of TC-5214 as an Adjunct Therapy in Patients With Major Depressive Disorder,Completed,Has Results,Major Depressive Disorder|MDD|Depression,Drug: TC-5214|Drug: Placebo,AstraZeneca|Targacept Inc.,Phase 3,Industry,Interventional,29-Oct-12,https://ClinicalTrials.gov/show/NCT01152554
761,Evaluation of Meningococcal Immune Response Among Children Who Previously Received MenACWY Conjugate Vaccine,Completed,Has Results,Meningococcal Meningitis,"Biological: Meningococcal (groups A, C, W, and Y) oligosaccharide diphtheria CRM-197 conjugate vaccine",Novartis Vaccines|GlaxoSmithKline|Novartis,Phase 3,Industry,Interventional,14-May-14,https://ClinicalTrials.gov/show/NCT01148017
762,Bone Mineral Density in Human Immunodeficiency Virus Type 1 (HIV-1)-Infected Adult Subjects Switching From a Tenofovir Regimen to a Dolutegravir Plus Rilpivirine Regimen,Completed,Has Results,HIV Infections,Drug: Subjects do not receive study medication in this study 202094,ViiV Healthcare|Janssen Pharmaceuticals|GlaxoSmithKline,Phase 3,Industry,Interventional,20-Oct-17,https://ClinicalTrials.gov/show/NCT02478632
763,The Purpose of This Study is to Demonstrate the Safety and Effectiveness of Calcipotriene Foam in Subjects With Scalp and Body Psoriasis,Completed,Has Results,Psoriasis,Drug: Calcipotriene Foam|Drug: Vehicle Foam,"Stiefel, a GSK Company|GlaxoSmithKline",Phase 3,Industry,Interventional,23-Sep-11,https://ClinicalTrials.gov/show/NCT01139580
764,A Study of BMS-512148 (Dapagliflozin) in Patients With Type 2 Diabetes and Inadequately Controlled Hypertension on an Angiotensin-Converting Enzyme Inhibitor or Angiotensin Receptor Blocker,Completed,Has Results,Type 2 Diabetes,Drug: Dapagliflozin|Drug: Placebo-matching dapagliflozin,AstraZeneca|Bristol-Myers Squibb,Phase 3,Industry,Interventional,1-May-14,https://ClinicalTrials.gov/show/NCT01137474
